id,created_at,text
837323525417537536,2017-03-02 15:27:39,b'#NewProblems How one listener &amp; an @amazonecho may have skewed digital #radio @Nielsen ratings https://t.co/aOnfUpYK4r @AllAccess #anorak'
837322354825048064,2017-03-02 15:23:00,b'RT @CecileGauffriau: @Mattel va lancer #Aristote sa version #AmazonEcho pour les enfants \xf0\x9f\x91\xb6 #\xc3\xa9ducatifs #recreatif #normatif ? #CommerceReloa\xe2\x80\xa6'
837322177452126214,2017-03-02 15:22:18,b'@Mattel va lancer #Aristote sa version #AmazonEcho pour les enfants \xf0\x9f\x91\xb6 #\xc3\xa9ducatifs #recreatif #normatif ?\xe2\x80\xa6 https://t.co/P4Glz6MqjP'
837322021063307266,2017-03-02 15:21:41,"b'RT @HThapps: Man flu, hear what #AmazonEcho #alexa and #GoogleHome have to say on the matter #iot #ar #iotforum #indiedev #VR\n\nhttps://t.co\xe2\x80\xa6'"
837320982654255104,2017-03-02 15:17:33,b'@Dan_T90 @amazonecho while you wait for everything to be approved over next week check out how to use it here: https://t.co/dVA6HIURkT'
837320502679060481,2017-03-02 15:15:39,"b""@Dan_T90 @amazonecho Hi Dan, coming soon - you'll see the alexa skill first but you need to await the updated apps to be able to use it\xf0\x9f\x91\x8d"""
837319958568693767,2017-03-02 15:13:29,b'Here are all the differences between the #AmazonEcho and the smaller Echo Dot https://t.co/oVBNMagNiK via @sai #IoT'
837319481240203266,2017-03-02 15:11:35,b'@KerrangRadio @crawlinginblack @amazonecho 100%'
837319346527449088,2017-03-02 15:11:03,b'RT @TPLINKNA: Hands dirty? No problem! @triedtrueblog paired our smart products with @amazonecho to modernize her #craft cottage: https://t\xe2\x80\xa6'
837319196996435968,2017-03-02 15:10:27,b'#C3NY attendees drop off your business card at the DeepCrawl booth for a chance to win an @amazonecho'
837318885116375040,2017-03-02 15:09:13,"b'@crawlinginblack @amazonecho\nWhat about screaming ""Jake Thomson, stuff music in my ears please!""\n@Jake_Thomson - this works, right?'"
837318884185165824,2017-03-02 15:09:13,"b""I'm definitely going to unplug our @amazonecho when Garner is deployed...I can't deal with Alexa's random outbursts \xf0\x9f\x91\xbd\xf0\x9f\x91\x80"""
837318811078561792,2017-03-02 15:08:55,"b""Have just discovered I can remotely play anything from Spotify on to the Flat's amazon echo. Oh the fun to be had.... #AmazonEcho"""
837317886209363969,2017-03-02 15:05:15,b'#Win an Echo Dot Gen2! Enter DAILY to increase your chance of winning https://t.co/J96W6Km8rx @amazonecho #gadget\xe2\x80\xa6 https://t.co/BMb8Egldh0'
837317107511668737,2017-03-02 15:02:09,b'Mache doch beim #TechnikNewsNET #Gewinnspiel mit! Es gibt einen #AmazonEcho und #EchoDot zu gewinnen! #TNGeburtstag https://t.co/87SXhtu5JZ'
837316611849715712,2017-03-02 15:00:11,b'RT @ARAGlegal: Calling all #Benefit pros attending #WBR17! Want to win an #AmazonEcho? Pre-register before the show here: https://t.co/SyF5\xe2\x80\xa6'
837315776424062977,2017-03-02 14:56:52,b'Shopping with #Alexa? Survey Reveals Purchase Behavior of #AmazonEcho Owners https://t.co/IiJRJv4IIc https://t.co/pWsF9juqvm'
837315776197582848,2017-03-02 14:56:52,b'Shopping with #Alexa? Survey Reveals Purchase Behavior of #AmazonEcho Owners https://t.co/OFRnD8ri4g https://t.co/V5BnrvyKY7'
837313539639476224,2017-03-02 14:47:59,b'Why not get Alexa to read you a bedtime story? Pop by #maplin #thurrock for more details!! #WorldBookDay #AmazonEcho https://t.co/2JhbD3RSIE'
837313456114139136,2017-03-02 14:47:39,b'RT @ifreed: Giant Echo Dot at the Grammys? #EchoDot #grammys2017 #GRAMMYs @amazonecho https://t.co/oZFcss9vHn'
837313002454061056,2017-03-02 14:45:50,"b'""Hey #Alexa, are you good for shopping?"" 318 #AmazonEcho surveyed. #RetailTech https://t.co/jdRrZSlFXs'"
837312899337060353,2017-03-02 14:45:26,"b""@KerrangRadio @amazonecho tried that and it tried searching for the Holy Qur'an"""
837312081993031680,2017-03-02 14:42:11,"b'RT @CocoyClaravall: @Sidragon1 ""not to mention these @amazonecho devices at homes that can listen in ..."" #mwc17'"
837310609867812865,2017-03-02 14:36:20,b'@crawlinginblack @amazonecho Have you tried shouting Kerrang?!'
837310523368693760,2017-03-02 14:35:59,"b""Here's everything the #AmazonEcho can do.\nhttps://t.co/o4DgA3XgRv @CNET #Echo #alexa https://t.co/8wd34HSM2w"""
837309655382700032,2017-03-02 14:32:32,b'So nach nun ca. 10 Stunden Test mit #Alexa und den richtigen #Skills ist der #AmazonEcho echt geil \xf0\x9f\x98\x8e\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc https://t.co/w7JwTBPQ86'
837308947958751234,2017-03-02 14:29:44,b'@amazonecho or #GoogleHome for the classroom?  #gfedchat #edtech #assistivetech @google @gafesummit @AmazonEdu @GoogleForEdu'
837307816536915968,2017-03-02 14:25:14,b'Be Our Guest WDW Podcast Episode 1139 - Listener Questions https://t.co/ZLNi1XEubk #Disney #WDW @tunein  @Stitcher  @amazonecho  #BOGP #DCL'
837307816503296000,2017-03-02 14:25:14,b'Be Our Guest WDW Podcast Episode 1139 - Listener Questions https://t.co/oWVkEGXCcu #Disney #WDW @tunein  @Stitcher  @amazonecho  #BOGP #DCL'
837305241091600389,2017-03-02 14:15:00,"b'RT @jejohnson322: Tell your @amazonecho: ""#Alexa, ask @NPROne to play @1A.""\nhttps://t.co/z28Fyqathf'"
